"","V1"
"1052",1.0706
"1053",1.0731
"1054",1.0758
"1055",1.0793
"1056",1.0716
"1057",1.0714
"1058",1.0717
"1059",1.0763
"1060",1.0838
"1061",1.0721
"1062",1.0774
"1063",1.0753
"1064",1.0822
"1065",1.0782
"1066",1.08
"1067",1.0919
"1068",1.0966
"1069",1.0963
"1070",1.1039
"1071",1.1042
"1072",1.108
"1073",1.1028
"1074",1.0864
"1075",1.0775
"1076",1.0801
"1077",1.0586
"1078",1.057
"1079",1.0592
"1080",1.0572
"1081",1.0634
"1082",1.0691
"1083",1.0667
"1084",1.0723
"1085",1.073
"1086",1.0895
"1087",1.0891
"1088",1.083
"1089",1.0702
"1090",1.072
"1091",1.0582
"1092",1.066
"1093",1.0742
"1094",1.0805
"1095",1.0735
"1096",1.0737
"1097",1.0784
"1098",1.0836
"1099",1.092
"1100",1.0971
"1101",1.0944
"1102",1.1008
"1103",1.0973
"1104",1.1025
"1105",1.0956
"1106",1.1131
"1107",1.1239
"1108",1.1218
"1109",1.1344
"1110",1.1427
"1111",1.1435
"1112",1.1466
"1113",1.1597
"1114",1.1518
"1115",1.1499
"1116",1.1458
"1117",1.1492
"1118",1.1652
"1119",1.1644
"1120",1.1689
"1121",1.172
"1122",1.179
"1123",1.1813
"1124",1.1901
"1125",1.1738
"1126",1.1756
"1127",1.1822
"1128",1.1672
"1129",1.1723
"1130",1.1691
"1131",1.1775
"1132",1.1813
"1133",1.1726
"1134",1.1699
"1135",1.1748
"1136",1.1734
"1137",1.1751
"1138",1.1854
"1139",1.1797
"1140",1.1699
"1141",1.1655
"1142",1.1655
"1143",1.1539
"1144",1.1565
"1145",1.1551
"1146",1.1432
"1147",1.1413
"1148",1.1427
"1149",1.1543
"1150",1.1535
"1151",1.1457
"1152",1.1466
"1153",1.136
"1154",1.1326
"1155",1.1355
"1156",1.1342
"1157",1.1315
"1158",1.1299
"1159",1.1319
"1160",1.1138
"1161",1.1231
"1162",1.1205
"1163",1.1284
"1164",1.1343
"1165",1.1401
"1166",1.1467
"1167",1.1477
"1168",1.1489
"1169",1.1462
"1170",1.142
"1171",1.1318
"1172",1.1169
"1173",1.1307
"1174",1.1333
"1175",1.1392
"1176",1.1353
"1177",1.1326
"1178",1.1295
"1179",1.1312
"1180",1.1277
"1181",1.127
"1182",1.1247
"1183",1.1188
"1184",1.1065
"1185",1.1109
"1186",1.1009
"1187",1.0894
"1188",1.0888
"1189",1.0816
"1190",1.0907
"1191",1.0828
"1192",1.0927
"1193",1.0965
